original_code,original_name,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code,source
443,Soja,Soybeans,soy_soybeans,3301160000,soy_soybeans,3301160000,EuroCrops lv_2021.csv
445,"Graudaugu un zirņu vai vīķu maisījums, kur proteīnaugi >50%",Mixture of cereals and peas or vetches with protein crops> 50%,legumes_dried_pulses_protein_crops,3301020000,unspecified_cereals,3301011500,EuroCrops lv_2021.csv
446,"Graudaugu un zirņu vai vīķu maisījums ar stiebrzāļu vai tauriņziežu pasēju, kur proteīnaugi >50%",Mixture of cereals and peas or vetches with grass or legume sowing where protein crops> 50%,legumes_dried_pulses_protein_crops,3301020000,unspecified_cereals,3301011500,EuroCrops lv_2021.csv
447,"Graudaugu un vīķu maisījums, kurā vīķi > 50 %",Cereal and vetch mixture with over 50% vetch,legumes_dried_pulses_protein_crops,3301020000,,,"fiboa, from 445"
471,"Vīķi, vasaras sēklas ieguvei",Spring vetch grown for seed,vetches,3301090305,,,"fiboa, from 441"
472,"Vīķi, ziemas sēklas ieguvei",Winter vetch grown for seed,vetches,3301090305,,,"fiboa, from 442"
610,Papuve,Idle land,fallow_land_not_crop,3301110000,fallow_land_not_crop,3301110000,EuroCrops lv_2021.csv
612,Zaļmēslojuma augu papuve,Green manure fallow,fallow_land_not_crop,3301110000,,,"fiboa, from 610"
620,"LIZ, par kuru kārtējā gadā nevar saņemt atbalstu",UAA for which no support is available in the current year,not_known_and_other,3399000000,currants,3303020600,EuroCrops lv_2021.csv
640,Kokaugu stādaudzētavas lauksaimniecības zemē,Tree nurseries on agricultural land,nurseries_nursery,3303070000,nurseries_nursery,3303070000,EuroCrops lv_2021.csv
641,Miežabrālis,Reed canary grass,poaceae_grasses,3301090200,canary_seed_canaryseed,3301011400,EuroCrops lv_2021.csv
642,Klūdziņprosa,Switch grass,switchgrass,3301090208,switchgrass,3301090208,EuroCrops lv_2021.csv
644,Apse,Apsen,aspen,3306020000,aspen,3306020000,EuroCrops lv_2021.csv
645,Kārkls,Willow,willows_osiers,3306080000,willows_osiers,3306080000,EuroCrops lv_2021.csv
646,Baltalksnis,White alder,other_tree_wood_forest,3306990000,tree_wood_forest,3306000000,EuroCrops lv_2021.csv
710,Ilggadīgie zālāji,Permanent grasslands,pasture_meadow_grassland_grass,3302000000,pasture_meadow_grassland_grass,3302000000,EuroCrops lv_2021.csv
713,Citur neminētas stiebrzāles,Grasses not elsewhere specified or included,poaceae_grasses,3301090200,pasture_meadow_grassland_grass,3302000000,EuroCrops lv_2021.csv
714,Esparsete,Esparsete,esparsette_onobrychis,3301020300,esparsette_onobrychis,3301020300,EuroCrops lv_2021.csv
715,Facēlija,Phacelia,phacelia,3301061400,phacelia,3301061400,EuroCrops lv_2021.csv
716,Facēlija ar tauriņziežu pasēju,Phacelia with legume sowing,phacelia,3301061400,phacelia,3301061400,EuroCrops lv_2021.csv
720,Aramzemē sētu stiebrzāļu vai lopbarības zālaugu maisījums,Mixture of grasses or fodder grasses sown on arable land,poaceae_grasses,3301090200,pasture_meadow_grassland_grass,3302000000,EuroCrops lv_2021.csv
723,Sarkanais āboliņš,Red clover,clover,3301090303,clover,3301090303,EuroCrops lv_2021.csv
724,Baltais āboliņš,White clover,clover,3301090303,clover,3301090303,EuroCrops lv_2021.csv
725,Bastarda āboliņš,Bastard clover,clover,3301090303,clover,3301090303,EuroCrops lv_2021.csv
726,Lucerna,Lucerne,alfalfa_lucerne,3301090301,alfalfa_lucerne,3301090301,EuroCrops lv_2021.csv
727,Austrumu galega,Eastern galega,galega,3301081900,galega,3301081900,EuroCrops lv_2021.csv
728,Ragainais vanagnadziņš,Birds foot trefoil,legumes_harvested_green,3301090300,lotus,3301082600,EuroCrops lv_2021.csv
729,Amoliņš,Sweet clover,melilot,3301090304,clover,3301090303,EuroCrops lv_2021.csv
731,"Pļavas timotiņš, sēklas ieguvei",Meadow timothy for seed production,timothy,3301090209,timothy,3301090209,EuroCrops lv_2021.csv
732,"Pļavas auzene, sēklas ieguvei",Meadow fescue for seed production,festuca_fescue,3301090202,festuca_fescue,3301090202,EuroCrops lv_2021.csv
733,"Hibrīdā airene, sēklas ieguvei",Hybrid ryegrass Folium boucheanum for seed production,lolium_ryegrass,3301090205,rye,3301010300,EuroCrops lv_2021.csv
734,Daudzziedu viengadīgā airene sēklas ieguvei,Italian ryegrass for seed production,lolium_ryegrass,3301090205,lolium_ryegrass,3301090205,EuroCrops lv_2021.csv
735,"Sarkanā auzene, sēklas ieguvei",Red fescue for seed production,festuca_fescue,3301090202,festuca_fescue,3301090202,EuroCrops lv_2021.csv
736,"Ganību airene, sēklas ieguvei",Perennial ryegrass for seed production,lolium_ryegrass,3301090205,lolium_ryegrass,3301090205,EuroCrops lv_2021.csv
737,"Niedru auzene, sēklas ieguvei",Tall fescue for seed production,festuca_fescue,3301090202,festuca_fescue,3301090202,EuroCrops lv_2021.csv
738,"Pļavas skarene, sēklas ieguvei",Kentucky bluegrass for seed production,poaceae_grasses,3301090200,festuca_fescue,3301090202,EuroCrops lv_2021.csv
739,"Kamolzāle, sēklas ieguvei",Cocksfoot for seed production,cocksfoot_catgrass,3301090203,chamomile,3301061213,EuroCrops lv_2021.csv
741,Citur neminēta kukurūza,Maize not elsewhere specified,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600,EuroCrops lv_2021.csv
742,Citur neminēta kukurūza ar starpkultūru,Maize not mentioned elsewhere with a catch crop,grain_maize_corn_popcorn,3301010600,,,"fiboa, from 741"
743,Citur neminēta kukurūza ar zālāju pasēju,Maize not mentioned elsewhere with grass undersowing,grain_maize_corn_popcorn,3301010600,,,"fiboa, from 741"
760,"Aramzemē sētu stiebrzāļu vai tauriņziežu maisījums, kur tauriņzieži >50%",Mixture of grasses or legumes sown on arable land with legumes> 50%,plants_harvested_green,3301090000,pasture_meadow_grassland_grass,3302000000,EuroCrops lv_2021.csv
761,Auzeņairene sēklas ieguvei,Festulolium for seed production,festulolium,3301090204,festuca_fescue,3301090202,EuroCrops lv_2021.csv
773,Sarkanais āboliņš sēklas ieguvei,Red clover grown for seed,clover,3301090303,,,"fiboa, from 723"
774,Baltais āboliņš sēklas ieguvei,White clover grown for seed,clover,3301090303,,,"fiboa, from 724"
775,Bastarda āboliņš sēklas ieguvei,Alsike clover grown for seed,clover,3301090303,,,"fiboa, from 725"
776,Lucerna sēklas ieguvei,Lucerne grown for seed,alfalfa_lucerne,3301090301,,,"fiboa, from 726"
777,Austrumu galega sēklas ieguvei,Eastern galega grown for seed,galega,3301081900,,,"fiboa, from 727"
779,Amoliņš sēklas ieguvei,Melilot grown for seed,melilot,3301090304,,,"fiboa, from 729"
781,Inkarnāta āboliņš,Crimson clover,clover,3301090303,,,fiboa
782,Inkarnāta āboliņš sēklas ieguvei,Crimson clover grown for seed,clover,3301090303,,,"fiboa, from 781"
785,"Sorgo, Sudānas zāle, sorgo hibrīdi sēklas ieguvei","Sorghum, Sudan grass and sorghum hybrids grown for seed",millet_sorghum,3301010900,,,fiboa
791,Kukurūza biogāzes ieguvei,Maize for biogas production,grain_maize_corn_popcorn,3301010600,grain_maize_corn_popcorn,3301010600,EuroCrops lv_2021.csv
792,"Platība, kurā dabiski iesējušos augu īpatsvars pārsniedz 40%, dārzeņu kultūraugu skaits vienā kvadrātmetrā ir mazāks par šo noteikumu 2.2 pielikumā noteikto skaitu un nav īstenoti nezāļu ierobežošanas agrotehniskie pasākumi vismaz t",Area where the proportion of naturally sown plants exceeds 40% the number of vegetable crops per square meter is less than the number specified in Annex 2.2 to these Regulations and no weed control agronomic measures have been implemented for at least t,not_known_and_other,3399000000,not_known_and_other,3399000000,EuroCrops lv_2021.csv
811,"Dažādi kultūraugi nelielā aramzemes platībā vai vairāki kultūraugi, audzēti vienlaidu laukā, ja katrs no kultūraugiem attiecīgajā laukā aizņem mazāk par 0,3 ha, vai platības, ko izmanto ziedu audzēšanai","Different crops on a small area of arable land or several crops grown in a continuous field, where each of the crops occupies less than 0.3 ha in the field concerned, or areas used for the production of flowers",arable_crops,3301000000,other_arable_land_crops,3301990000,EuroCrops lv_2021.csv
820,"Kartupeļi, kas citur nav minēti",Potatoes not elsewhere specified or included,potatoes,3301030000,potatoes,3301030000,EuroCrops lv_2021.csv
821,Sēklas kartupeļi,Seed potatoes,potatoes,3301030000,potatoes,3301030000,EuroCrops lv_2021.csv
825,Cietes kartupeļi,Starch potatoes,potatoes,3301030000,potatoes,3301030000,EuroCrops lv_2021.csv
826,Tomāti,Tomatoes,tomato,3301280000,tomato,3301280000,EuroCrops lv_2021.csv
831,"Lopbarības bietes, cukurbietes",Fodder beet sugar beet,mangelwurzel_fodder_beet,3301290400,mangelwurzel_fodder_beet,3301290400,EuroCrops lv_2021.csv
842,Ziedkāposti,Cauliflower,cauliflower,3301210204,cauliflower,3301210204,EuroCrops lv_2021.csv
843,Burkāni,Carrots,carrots_daucus,3301290300,carrots_daucus,3301290300,EuroCrops lv_2021.csv
844,"Galda bietes, mangolds (lapu bietes)",Table beets chard (leaf beets),beetroot_beets,3301290200,beetroot_beets,3301290200,EuroCrops lv_2021.csv
845,Gurķi un kornišoni,Cucumbers and gherkins,cucumber_pickle,3301140100,cucumber_pickle,3301140100,EuroCrops lv_2021.csv
846,"Sīpoli, šalotes sīpoli, maurloki, lielloku sīpoli un batūni",Onions shallots chives shallots and trampolines,alliums,3301220000,alliums,3301220000,EuroCrops lv_2021.csv
847,Ķiploki,Garlic,garlic,3301220200,garlic,3301220200,EuroCrops lv_2021.csv
848,"Garšaugi un kultivēti ārstniecības augi (fenhelis, baziliks, timiāns, estragons, anīss, majorāns, oregano, salvija, izops, piparmētra, pupumētra, vērmele, lofants, naktssvece, deviņvīru spēks, ābolmētra, citronmelisa, tauksakne, ehinācija",Herbs and cultivated medicinal plants (fennel basil thyme tarragon anise marjoram oregano sage hyssop mint peppermint wormwood lofant night candle nine-man force apple mint lemon balm fatty root echinacea,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,EuroCrops lv_2021.csv
849,Puravi,leek,leek,3301220300,leek,3301220300,EuroCrops lv_2021.csv
851,"Galda rāceņi, turnepši",Turnips,turnips,3301290800,turnips,3301290800,EuroCrops lv_2021.csv
852,Selerijas,Celery,celery,3301250000,celery,3301250000,EuroCrops lv_2021.csv
853,Redīsi un melnie rutki,Radish and black radish,radish,3301290600,radish,3301290600,EuroCrops lv_2021.csv
854,Pētersīļi,Parsley,parsly,3301061227,parsly,3301061227,EuroCrops lv_2021.csv
855,Pastinaks,Parsnips,parsnips,3301290500,parsnips,3301290500,EuroCrops lv_2021.csv
856,Galda kāļi,rutabaga,swede_rutabaga,3301210500,swede_rutabaga,3301210500,EuroCrops lv_2021.csv
857,"Dārza ķirbji, cukīni, kabači, patisoni",Garden pumpkins zucchini courgettes squash,cucurbits,3301140000,cucurbits,3301140000,EuroCrops lv_2021.csv
858,"Vīģlapu, lielaugļu, muskata ķirbji","Fig-leaf, large-fruit, and nutmeg pumpkins",pumpkin_squash_gourd,3301140400,fig,3303010600,EuroCrops lv_2021.csv
859,Parastās jeb dārza pupiņas,Ordinary or garden beans,beans,3301020100,beans,3301020100,EuroCrops lv_2021.csv
860,Skābenes,Sorrel,sorrel,3301310700,sorrel,3301310700,EuroCrops lv_2021.csv
861,Rabarberi,Rhubarb,rhubarb,3301230000,rhubarb,3301230000,EuroCrops lv_2021.csv
862,Spināti,Spinach,spinach,3301310800,spinach,3301310800,EuroCrops lv_2021.csv
863,Mārrutki,Horseradish,horseradish,3301210400,horseradish,3301210400,EuroCrops lv_2021.csv
864,Salāti,Salads,salads_lettuce_leaf_vegetables,3301310000,salads_lettuce_leaf_vegetables,3301310000,EuroCrops lv_2021.csv
865,Topinambūri,Jerusalem artichokes,topinambur_jerusalem_artichoke,3301180000,topinambur_jerusalem_artichoke,3301180000,EuroCrops lv_2021.csv
866,"Skābenes, daudzgadīgas",Perennial sorrel,sorrel,3301310700,,,fiboa
867,Paprika,Paprika,bell_pepper_paprika,3301300100,bell_pepper_paprika,3301300100,EuroCrops lv_2021.csv
869,Sparģeļi,Asparagus,asparagus,3301200000,aspargus,3301200000,EuroCrops lv_2021.csv
870,"Citur neminēti kāposti (baltie vai sarkanie galviņkāposti, rožu jeb Briseles kāposti, galda kolrābji, sparģeļkāposti, virziņkāposti jeb Savojas kāposti, lapu kāposti, brokoļi, Pekinas kāposti), izņemot lopbarības kāpostus",Cabbages not elsewhere specified or included (white or red headed cabbages Brussels sprouts kohlrabi kale savoy cabbages kale broccoli Beijing cabbages) other than fodder cabbages,brassica_oleracea_cabbage,3301210200,brassica_oleracea_cabbage,3301210200,EuroCrops lv_2021.csv
871,"Dārzeņi, ja vienlaidu platībā augošas BSA atbalsttiesīgās dārzeņu kultūraugu sugas katra aizņem mazāk par 0,3 ha un kopējā saimniecības aramzemes platība nav lielāka par 10 ha",Vegetables if the BSA eligible vegetable crop species growing in a continuous area each occupy less than 0.3 ha and the total arable land area of ??the holding does not exceed 10 ha,fresh_vegetables,3301070000,fresh_vegetables,3301070000,EuroCrops lv_2021.csv
872,"Pārējie kultūraugi, sēti tīrsējā aramzemē",Other crops sown on pure arable land,other_arable_land_crops,3301990000,other_arable_land_crops,3301990000,EuroCrops lv_2021.csv
873,"Pārējie citur neminētie kultūraugi, sēti kā kultūraugu maisījums aramzemē",Other crops not elsewhere specified sown as a mixture of crops on arable land,arable_crops,3301000000,other_arable_land_crops,3301990000,EuroCrops lv_2021.csv
874,Parastās dilles,Common dill,anethum_dill,3301061203,anethum_dill,3301061203,EuroCrops lv_2021.csv
877,Sējas koriandrs jeb kinza,Sowing coriander or kinza,coriander,3301061215,coriander,3301061215,EuroCrops lv_2021.csv
878,Ķimene,Cumin,caraway,3301061211,caraway,3301061211,EuroCrops lv_2021.csv
879,Mārdadzis,Marian Thistles,marian_thistles,3301061300,marian_thistles,3301061300,EuroCrops lv_2021.csv
881,Kumelīte,Chamomile,chamomile,3301061213,chamomile,3301061213,EuroCrops lv_2021.csv
882,Kliņģerīte,Marigold,calendula_marigold,3301061210,calendula_marigold,3301061210,EuroCrops lv_2021.csv
883,Cigoriņš,Chicory,chicory_chicories,3301310200,chicory_chicories,3301310200,EuroCrops lv_2021.csv
884,Ārstniecības gurķene,Borage,borage,3301061209,borage,3301061209,EuroCrops lv_2021.csv
885,Lavanda,Lavender,lavender_lavandula,3301061219,lavender_lavandula,3301061219,EuroCrops lv_2021.csv
886,Lielaugļu ķirbis,Winter squash (Cucurbita maxima),pumpkin_squash_gourd,3301140400,,,fiboa
887,Muskata ķirbis,Musk pumpkin (Cucurbita moschata),pumpkin_squash_gourd,3301140400,,,fiboa
889,"Kumelīte, vasaras",Summer chamomile,chamomile,3301061213,,,"fiboa, from 881"
890,"Kumelīte, ziemas",Winter chamomile,chamomile,3301061213,,,"fiboa, from 881"
911,Ābeles,Apples,apples,3303010200,apples,3303010200,EuroCrops lv_2021.csv
912,Bumbieres,Pears,pears,3303011200,pears,3303011200,EuroCrops lv_2021.csv
914,Plūmes,Plums,plums,3303011300,plums,3303011300,EuroCrops lv_2021.csv
915,Plūškoks,Elderberry,elder_elderberry,3303080400,elder_elderberry,3303080400,EuroCrops lv_2021.csv
918,Aronijas,Chokeberry,aronia_chokeberries,3303020100,aronia_chokeberries,3303020100,EuroCrops lv_2021.csv
919,Smiltsērkšķis,Sea buckthorn,hippophae_sea_buckthorns_seaberry,3303020800,hippophae_sea_buckthorns_seaberry,3303020800,EuroCrops lv_2021.csv
921,Avenes,Raspberries,raspberry_raspberries,3303021000,raspberry_raspberries,3303021000,EuroCrops lv_2021.csv
922,Upenes,Blackcurrant,blackcurrant_cassis,3303020300,blackcurrant_cassis,3303020300,EuroCrops lv_2021.csv
924,Krūmmellenes (zilenes),Blueberries (blueberries),blueberry,3303020400,blueberry,3303020400,EuroCrops lv_2021.csv
926,Zemenes,Strawberry,strawberries,3301130000,strawberries,3301130000,EuroCrops lv_2021.csv
927,Ērkšķogas,Gooseberries,gooseberry_gooseberries_cranberries,3303020700,gooseberry_gooseberries_cranberries,3303020700,EuroCrops lv_2021.csv
928,Krūmcidonijas,Quince,chaenomeles_cathayensis,3303080200,quinces,3303011500,EuroCrops lv_2021.csv
929,Kazenes,Blackberries,blackberry,3303020200,blackberry,3303020200,EuroCrops lv_2021.csv
930,"Citi kultivēti nektāraugi (ežziede, biškrēsliņš, pūķgalve, melisa, daglītis, dedestiņa, kaķumētra, rudzupuķe)",Other cultivated nectar plants (hedgehog periwinkle dragon's head lemon balm buttercup blackthorn catnip cornflower),aromatic_medicinal_culinary_plants_spices_herbs,3301061200,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,EuroCrops lv_2021.csv
931,Dārza pīlādži,Garden rowans or garden mountain-ashes,rowan_rowanberries,3303021300,rowan_rowanberries,3303021300,EuroCrops lv_2021.csv
932,Saldie un skābie ķirši,Sweet and sour cherries,cherry_cherries,3303010400,cherry_cherries,3303010400,EuroCrops lv_2021.csv
933,Sarkanās un baltās jāņogas,Red and white currants,currants,3303020600,currants,3303020600,EuroCrops lv_2021.csv
934,Lielogu dzērvenes,Large cranberries,cranberry,3303020500,cranberry,3303020500,EuroCrops lv_2021.csv
935,Vīnogas,Grapes,vineyards_wine_vine_rebland_grapes,3303060000,vineyards_wine_vine_rebland_grapes,3303060000,EuroCrops lv_2021.csv
937,Arbūzi un melones,Watermelons and melons,cucurbits,3301140000,melon,3301140300,EuroCrops lv_2021.csv
938,Sausserdis,Honeysuckle,honeysuckle,3303080500,honeysuckle,3303080500,EuroCrops lv_2021.csv
939,Irbene,Guilder rose,shrubberries_shrubs,3303080000,not_known_and_other,3399000000,EuroCrops lv_2021.csv
940,Nektāraugi savstarpējos maisījumos vai citur neminētie nektāraugi,Nectar plants in mixtures or not mentioned elsewhere,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,,,"fiboa, from 930"
950,"Augļu koki un ogulāji (izņemot zemenes), ja vienlaidus platībā augošas BSA sugas katra <0,3 ha",Fruit trees and berry bushes (excluding strawberries) if BSA species growing in a continuous area each <0.3 ha,orchards_fruits,3303010000,berries_berry_species,3303020000,EuroCrops lv_2021.csv
952,Citur neminēti ilggadīgie stādījumi,Perennial crops not mentioned elsewhere,permanent_crops_perennial,3303000000,permanent_crops_perennial,3303000000,EuroCrops lv_2021.csv
960,Saulespuķe,Sunflower,sunflower,3301060500,,,fiboa
